dataset,subfolder,composition,source,elem1,count1,elem2,count2,natoms_from_file,x_Zr,a1_len_A,a2_len_A,a3_len_A,cell_volume_A3,volume_per_atom_A3,equiv_bcc_a_A
bcc_TaZr,Ta-Zr,Zr124Ta4,POSCAR,Ta,4,Zr,124,128,0.968750,14.008326,15.086347,14.008987,2958.831820,23.115874,3.589055
bcc_TaZr,Ta-Zr,Zr12Ta116,N0.OUTCAR:first_direct_lattice_vectors,Ta,116,Zr,12,128,0.093750,13.369085,13.383060,13.372529,2392.602449,18.692207,3.343722
bcc_TaZr,Ta-Zr,Zr16Ta112,POSCAR,Ta,112,Zr,16,128,0.125000,13.385438,13.416896,13.417778,2409.711582,18.825872,3.351673
bcc_TaZr,Ta-Zr,Zr20Ta108,POSCAR,Ta,108,Zr,20,128,0.156250,13.478981,13.430612,13.407903,2427.243336,18.962839,3.359782
bcc_TaZr,Ta-Zr,Zr24Ta104,POSCAR,Ta,104,Zr,24,128,0.187500,13.465797,13.461028,13.479348,2443.309292,19.088354,3.367179
bcc_TaZr,Ta-Zr,Zr28Ta100,POSCAR,Ta,100,Zr,28,128,0.218750,13.483962,13.554399,13.473320,2462.471669,19.238060,3.375958
bcc_TaZr,Ta-Zr,Zr32Ta96,POSCAR,Ta,96,Zr,32,128,0.250000,13.490428,13.532166,13.594357,2481.707215,19.388338,3.384726
bcc_TaZr,Ta-Zr,Zr36Ta92,POSCAR,Ta,92,Zr,36,128,0.281250,13.603062,13.603702,13.498810,2497.976906,19.515445,3.392107
bcc_TaZr,Ta-Zr,Zr40Ta88,POSCAR,Ta,88,Zr,40,128,0.312500,13.682801,13.554917,13.576375,2517.956542,19.671535,3.401126
bcc_TaZr,Ta-Zr,Zr44Ta84,POSCAR,Ta,84,Zr,44,128,0.343750,13.617252,13.653899,13.647772,2537.461671,19.823919,3.409886
bcc_TaZr,Ta-Zr,Zr48Ta80,POSCAR,Ta,80,Zr,48,128,0.375000,13.648893,13.672503,13.684534,2553.700611,19.950786,3.417144
bcc_TaZr,Ta-Zr,Zr4Ta124,POSCAR,Ta,124,Zr,4,128,0.031250,13.312505,13.311782,13.311781,2359.022732,18.429865,3.328006
bcc_TaZr,Ta-Zr,Zr52Ta76,N0.OUTCAR:first_direct_lattice_vectors,Ta,76,Zr,52,128,0.406250,13.718119,13.713592,13.666388,2570.983610,20.085809,3.424836
bcc_TaZr,Ta-Zr,Zr56Ta72,POSCAR,Ta,72,Zr,56,128,0.437500,13.814750,13.693526,13.702954,2592.138586,20.251083,3.434204
bcc_TaZr,Ta-Zr,Zr60Ta68,POSCAR,Ta,68,Zr,60,128,0.468750,13.770915,13.817076,13.748171,2615.915499,20.436840,3.444672
bcc_TaZr,Ta-Zr,Zr64Ta64,N0.OUTCAR:first_direct_lattice_vectors,Ta,64,Zr,64,128,0.500000,13.851587,13.794344,13.765666,2630.250686,20.548833,3.450953
bcc_TaZr,Ta-Zr,Zr68Ta60,N0.OUTCAR:first_direct_lattice_vectors,Ta,60,Zr,68,128,0.531250,13.825787,13.812795,13.890812,2652.716233,20.724346,3.460750
bcc_TaZr,Ta-Zr,Zr72Ta56,POSCAR,Ta,56,Zr,72,128,0.562500,13.943948,13.886045,13.811473,2674.241295,20.892510,3.470086
bcc_TaZr,Ta-Zr,Zr76Ta52,POSCAR,Ta,52,Zr,76,128,0.593750,13.881897,13.998709,13.882294,2697.655244,21.075432,3.480184
bcc_TaZr,Ta-Zr,Zr80Ta48,N0.OUTCAR:first_direct_lattice_vectors,Ta,48,Zr,80,128,0.625000,13.971804,13.841132,14.040485,2715.142975,21.212054,3.487688
bcc_TaZr,Ta-Zr,Zr84Ta44,POSCAR,Ta,44,Zr,84,128,0.656250,13.914714,13.944495,14.115604,2738.888922,21.397570,3.497826
bcc_TaZr,Ta-Zr,Zr88Ta40,N0.OUTCAR:first_direct_lattice_vectors,Ta,40,Zr,88,128,0.687500,14.026673,14.053508,13.983071,2756.382220,21.534236,3.505257
bcc_TaZr,Ta-Zr,Zr8Ta120,POSCAR,Ta,120,Zr,8,128,0.062500,13.350507,13.340815,13.336760,2375.365186,18.557541,3.335673
bcc_TaZr,Ta-Zr,Zr92Ta36,POSCAR,Ta,36,Zr,92,128,0.718750,14.005926,14.115568,14.058597,2779.314893,21.713398,3.514951
bcc_TaZr,Ta-Zr,Zr96Ta32,N0.OUTCAR:first_direct_lattice_vectors,Ta,32,Zr,96,128,0.750000,14.013048,14.186941,14.099686,2803.005004,21.898477,3.524909
bcc_VZr,V-Zr,Zr100V28,N0.OUTCAR:first_direct_lattice_vectors,V,28,Zr,100,128,0.781250,13.838436,13.887682,14.090143,2707.725379,21.154105,3.484509
bcc_VZr,V-Zr,Zr104V24,POSCAR,V,24,Zr,104,128,0.812500,14.018580,14.010111,13.976566,2744.677208,21.442791,3.500288
bcc_VZr,V-Zr,Zr108V20,POSCAR,V,20,Zr,108,128,0.843750,14.128674,13.935190,14.147388,2785.311698,21.760248,3.517477
bcc_VZr,V-Zr,Zr112V16,N0.OUTCAR:first_direct_lattice_vectors,V,16,Zr,112,128,0.875000,14.038264,14.123447,14.182661,2811.933825,21.968233,3.528648
bcc_VZr,V-Zr,Zr116V12,N0.OUTCAR:first_direct_lattice_vectors,V,12,Zr,116,128,0.906250,14.330194,14.167283,14.035133,2849.360602,22.260630,3.544235
bcc_VZr,V-Zr,Zr120V8,POSCAR,V,8,Zr,120,128,0.937500,14.321200,14.368619,14.104560,2902.325112,22.674415,3.566060
bcc_VZr,V-Zr,Zr124V4,POSCAR,V,4,Zr,124,128,0.968750,14.560982,14.268495,14.154347,2939.984457,22.968629,3.581418
bcc_VZr,V-Zr,Zr12V116,POSCAR,V,116,Zr,12,128,0.093750,12.183150,12.249494,12.234969,1825.819011,14.264211,3.055572
bcc_VZr,V-Zr,Zr16V112,OUTCAR:first_direct_lattice_vectors,V,112,Zr,16,128,0.125000,12.303364,12.292928,12.336443,1865.776120,14.576376,3.077702
bcc_VZr,V-Zr,Zr20V108,POSCAR,V,108,Zr,20,128,0.156250,12.375000,12.468945,12.345659,1904.907934,14.882093,3.099070
bcc_VZr,V-Zr,Zr24V104,OUTCAR:first_direct_lattice_vectors,V,104,Zr,24,128,0.187500,12.472962,12.402641,12.562133,1943.302798,15.182053,3.119753
bcc_VZr,V-Zr,Zr28V100,POSCAR,V,100,Zr,28,128,0.218750,12.601217,12.543621,12.575953,1987.606216,15.528174,3.143283
bcc_VZr,V-Zr,Zr32V96,POSCAR,V,96,Zr,32,128,0.250000,12.568000,12.689935,12.719798,2028.130289,15.844768,3.164501
bcc_VZr,V-Zr,Zr36V92,POSCAR,V,92,Zr,36,128,0.281250,12.780438,12.708701,12.743987,2069.823046,16.170493,3.186039
bcc_VZr,V-Zr,Zr40V88,POSCAR,V,88,Zr,40,128,0.312500,12.804732,12.864024,12.831801,2113.447315,16.511307,3.208267
bcc_VZr,V-Zr,Zr44V84,POSCAR,V,84,Zr,44,128,0.343750,12.852871,12.940109,12.923647,2147.692418,16.778847,3.225502
bcc_VZr,V-Zr,Zr48V80,POSCAR,V,80,Zr,48,128,0.375000,13.003133,13.016135,12.971954,2195.065158,17.148947,3.249046
