dataset,type,name,ratio,l1,l2,l3
bcc_HfNb,pure,Hf128,1.5793903075125584,12.808487289889234,12.80848725729682,20.22960062807271
bcc_HfNb,pure,Nb128,1.6730471981308368,11.330530735342348,11.330532066088399,18.956512700099847
bcc_HfNb,alloy,Hf100Nb28,1.593027319971073,12.29823333663126,13.742848061500705,19.5914216926326
bcc_HfNb,alloy,Hf104Nb24,1.6066644951556521,12.454871706734759,12.445637647488649,19.99596412779253
bcc_HfNb,alloy,Hf108Nb20,1.5942666306448348,12.979856803350811,12.558313819812566,20.021300660093043
bcc_HfNb,alloy,Hf112Nb16,1.5964580976919118,12.595100098204279,12.90854533469442,20.107549543018415
bcc_HfNb,alloy,Hf116Nb12,1.5826183413340882,12.752834734780196,12.73741425565731,20.158465422173542
bcc_HfNb,alloy,Hf120Nb8,1.5823116983728376,12.747400745922091,12.806976737403419,20.17036132411916
bcc_HfNb,alloy,Hf124Nb4,1.581124724409126,12.786255093035024,12.78169124449788,20.20944804643925
bcc_HfNb,alloy,Hf12Nb116,1.6606909866756132,13.269064316955587,11.379048971269341,18.897084063527405
bcc_HfNb,alloy,Hf16Nb112,1.665488960311497,11.612709139769612,11.386727397340442,18.964468774346972
bcc_HfNb,alloy,Hf20Nb108,1.6464675800779762,13.33818195652494,11.493373872345513,18.923467466532156
bcc_HfNb,alloy,Hf24Nb104,1.934488666093325,13.380564863631198,11.491332502520088,22.229852484434954
bcc_HfNb,alloy,Hf28Nb100,1.6524453041483502,11.537744589965405,13.385590925410511,19.065491868151366
bcc_HfNb,alloy,Hf32Nb96,1.6296193454483332,13.422436320937086,11.654720761427205,18.992758418620102
bcc_HfNb,alloy,Hf36Nb92,1.63706478826409,11.668663663423306,11.667300230577458,19.100126381583856
bcc_HfNb,alloy,Hf40Nb88,1.6403149379254442,13.49034772315934,11.692198718422969,19.17888821502193
bcc_HfNb,alloy,Hf44Nb84,1.6319615950134263,11.709031712334802,11.803944304053408,19.108690069324695
bcc_HfNb,alloy,Hf48Nb80,1.6202371576795849,11.790695299638035,11.81317216989935,19.10372263935157
bcc_HfNb,alloy,Hf4Nb124,1.6615440820012604,11.383885451547343,11.38920751138608,18.914827502198733
bcc_HfNb,alloy,Hf52Nb76,1.62568474086146,11.797382765372577,11.809603434274578,19.178825143768172
bcc_HfNb,alloy,Hf56Nb72,1.6264243507651315,11.82575524723758,11.85912507758171,19.23369630029573
bcc_HfNb,alloy,Hf60Nb68,1.6286246918722949,13.646187054861702,11.868990863006188,19.330131587098535
bcc_HfNb,alloy,Hf64Nb64,1.6271352594000958,13.741468063943001,11.916757241326804,19.39017588507426
bcc_HfNb,alloy,Hf68Nb60,1.6314923157006258,11.903457105672711,13.657243850957592,19.42039879817704
bcc_HfNb,alloy,Hf72Nb56,1.6278094056709589,11.967330380967768,13.689566541173889,19.48053295491115
bcc_HfNb,alloy,Hf76Nb52,1.6416496532572118,13.754971787320812,11.948233030432466,19.61481261144582
bcc_HfNb,alloy,Hf80Nb48,1.6121960081602817,12.056539065125508,12.039699200043234,19.41035498976024
