dataset,elem1,elem2,ref1_eVatom,ref2_eVatom,n_total,ok_cases,bad_cases,low_n,low_mean_meVatom,low_min,low_max,high_n,high_mean_meVatom,high_min,high_max,all_mean_meVatom,all_min,all_max
bcc_NbZr,Nb,Zr,-10.20795293,-8.40191185,2515,2515,585,280,4.159703388950586,-1.4751992968743965,11.674343906248996,238,-91.39177549304154,-118.43588945312611,-10.960060859375176,-12.067016626771158,-118.43588945312611,80.7587462499999
bcc_TaZr,Ta,Zr,-11.85473858,-8.40191185,2480,2480,620,240,21.697539100259533,10.554692968748835,33.82078757812445,240,-92.48319437858088,-117.58458312499975,-62.946089140625716,15.993829539250926,-117.58458312499975,66.93301679687558
bcc_VZr,V,Zr,-8.98971447,-8.40191185,3099,3099,1,300,-77.27147012031372,-122.24448351562705,-41.94002234375161,300,-82.98264955494818,-111.50113843749843,-58.24162898437546,-2.168315437137713,-122.24448351562705,66.50933046874874
