x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.81250000,-27.14872360,-76.62701070,49.47828710
0.81250000,-32.25469589,-76.62701070,44.37231481
0.81250000,-25.43401718,-76.62701070,51.19299352
0.81250000,-26.52978897,-76.62701070,50.09722173
0.81250000,-28.46288681,-76.62701070,48.16412389
0.84375000,-39.64948654,-80.75354994,41.10406340
0.84375000,-39.78681564,-80.75354994,40.96673430
0.84375000,-44.46268082,-80.75354994,36.29086913
0.84375000,-40.89117050,-80.75354994,39.86237944
0.84375000,-44.12031174,-80.75354994,36.63323821
0.84375000,-40.41910172,-80.75354994,40.33444823
0.84375000,-37.26911545,-80.75354994,43.48443450
0.84375000,-42.18339920,-80.75354994,38.57015074
0.84375000,-43.63870621,-80.75354994,37.11484374
0.84375000,-41.54253006,-80.75354994,39.21101988
0.84375000,-36.63301468,-80.75354994,44.12053526
0.84375000,-43.36118698,-80.75354994,37.39236296
0.84375000,-39.80207443,-80.75354994,40.95147551
0.84375000,-38.04731369,-80.75354994,42.70623625
0.84375000,-42.25111008,-80.75354994,38.50243987
0.84375000,-41.25928879,-80.75354994,39.49426116
0.84375000,-41.38803482,-80.75354994,39.36551512
0.84375000,-43.42317581,-80.75354994,37.33037413
0.84375000,-42.07277298,-80.75354994,38.68077696
0.84375000,-40.60602188,-80.75354994,40.14752806
0.84375000,-44.74020004,-80.75354994,36.01334990
0.84375000,-42.29784012,-80.75354994,38.45570983
0.84375000,-41.91160202,-80.75354994,38.84194792
0.84375000,-44.02971268,-80.75354994,36.72383727
0.84375000,-42.82140732,-80.75354994,37.93214263
0.84375000,-42.68217087,-80.75354994,38.07137908
0.84375000,-39.32332993,-80.75354994,41.43022002
0.84375000,-41.44430161,-80.75354994,39.30924834
0.84375000,-44.01922226,-80.75354994,36.73432768
0.84375000,-41.63217545,-80.75354994,39.12137450
0.84375000,-42.11091995,-80.75354994,38.64262999
0.84375000,-44.83079910,-80.75354994,35.92275084
0.84375000,-43.47181320,-80.75354994,37.28173674
0.84375000,-37.95862198,-80.75354994,42.79492796
0.84375000,-45.03107071,-80.75354994,35.72247923
0.84375000,-39.91079330,-80.75354994,40.84275664
0.84375000,-45.20559311,-80.75354994,35.54795683
0.84375000,-41.89729691,-80.75354994,38.85625304
0.84375000,-41.75615311,-80.75354994,38.99739684
0.84375000,-38.97523880,-80.75354994,41.77831114
0.84375000,-42.27018356,-80.75354994,38.48336638
0.84375000,-42.94347763,-80.75354994,37.81007231
0.84375000,-40.89117050,-80.75354994,39.86237944
0.84375000,-41.61024094,-80.75354994,39.14330901
0.84375000,-43.18666458,-80.75354994,37.56688536
0.84375000,-43.15137863,-80.75354994,37.60217131
0.84375000,-42.35315323,-80.75354994,38.40039671
0.84375000,-42.34552383,-80.75354994,38.40802611
0.84375000,-40.85206985,-80.75354994,39.90148009
0.84375000,-41.45669937,-80.75354994,39.29685057
0.84375000,-42.15002060,-80.75354994,38.60352934
0.84375000,-40.28272629,-80.75354994,40.47082366
0.84375000,-39.65711594,-80.75354994,41.09643401
0.84375000,-42.31023788,-80.75354994,38.44331206
0.84375000,-42.38748550,-80.75354994,38.36606444
0.84375000,-43.09892654,-80.75354994,37.65462340
0.84375000,-44.18992996,-80.75354994,36.56361998
0.84375000,-42.19579697,-80.75354994,38.55775298
0.84375000,-41.98026657,-80.75354994,38.77328337
0.84375000,-40.77005386,-80.75354994,39.98349608
0.84375000,-41.65220261,-80.75354994,39.10134734
0.87500000,-55.29260635,-84.88008919,29.58748283
0.87500000,-53.71809006,-84.88008919,31.16199913
0.87500000,-54.97217178,-84.88008919,29.90791740
0.87500000,-54.82530594,-84.88008919,30.05478325
0.87500000,-53.96223068,-84.88008919,30.91785850
