x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.81250000,-53.08699608,-82.10069398,29.01369790
0.81250000,-53.11560631,-82.10069398,28.98508767
0.81250000,-49.61562157,-82.10069398,32.48507241
0.81250000,-51.50294304,-82.10069398,30.59775094
0.81250000,-50.78864098,-82.10069398,31.31205300
0.81250000,-48.84028435,-82.10069398,33.26040963
0.81250000,-51.37705803,-82.10069398,30.72363595
0.81250000,-53.00402641,-82.10069398,29.09666757
0.81250000,-51.14150047,-82.10069398,30.95919351
0.81250000,-52.34217644,-82.10069398,29.75851754
0.81250000,-53.96533012,-82.10069398,28.13536386
0.81250000,-49.40485954,-82.10069398,32.69583444
0.81250000,-49.27706718,-82.10069398,32.82362680
0.81250000,-51.22637749,-82.10069398,30.87431649
0.81250000,-53.09271812,-82.10069398,29.00797586
0.81250000,-52.33359337,-82.10069398,29.76710061
0.81250000,-50.53305626,-82.10069398,31.56763772
0.81250000,-48.10595512,-82.10069398,33.99473886
0.81250000,-50.16493797,-82.10069398,31.93575601
0.81250000,-55.23943901,-82.10069398,26.86125497
0.81250000,-54.23903465,-82.10069398,27.86165933
0.81250000,-52.09612846,-82.10069398,30.00456552
0.81250000,-50.44817924,-82.10069398,31.65251474
0.81250000,-48.99668694,-82.10069398,33.10400704
0.81250000,-50.72379112,-82.10069398,31.37690286
0.81250000,-51.57160759,-82.10069398,30.52908639
0.81250000,-49.54504967,-82.10069398,32.55564431
0.81250000,-52.17528343,-82.10069398,29.92541055
0.81250000,-50.34136772,-82.10069398,31.75932626
0.81250000,-53.37786674,-82.10069398,28.72282724
0.81250000,-53.25102806,-82.10069398,28.84966592
0.81250000,-51.06520653,-82.10069398,31.03548745
0.81250000,-49.89504814,-82.10069398,32.20564584
0.81250000,-52.02078819,-82.10069398,30.07990579
0.81250000,-52.85716057,-82.10069398,29.24353341
0.81250000,-53.88236046,-82.10069398,28.21833352
0.81250000,-50.39095879,-82.10069398,31.70973519
0.81250000,-53.46846581,-82.10069398,28.63222818
