x_elem2,fe_raw_meVatom,offset_stage1_meVatom,fe_stage1_meVatom,shift_stage2_meVatom,fe_final_meVatom
0.78125000,-19.49357986,-72.50047146,53.00689159,32.68654266,85.69343426
0.78125000,-15.01417160,-72.50047146,57.48629986,32.68654266,90.17284252
0.78125000,-23.07271957,-72.50047146,49.42775188,32.68654266,82.11429455
0.78125000,-14.91022110,-72.50047146,57.59025036,32.68654266,90.27679302
0.78125000,-18.51892471,-72.50047146,53.98154674,32.68654266,86.66808941
0.78125000,-16.20912552,-72.50047146,56.29134594,32.68654266,88.97788860
0.78125000,-18.17083359,-72.50047146,54.32963787,32.68654266,87.01618053
0.78125000,-19.17505264,-72.50047146,53.32541882,32.68654266,86.01196148
0.78125000,-19.33526993,-72.50047146,53.16520153,32.68654266,85.85174419
0.78125000,-18.48649979,-72.50047146,54.01397167,32.68654266,86.70051434
0.78125000,-22.06087112,-72.50047146,50.43960033,32.68654266,83.12614300
0.78125000,-15.79713821,-72.50047146,56.70333324,32.68654266,89.38987591
0.78125000,-20.84970474,-72.50047146,51.65076672,32.68654266,84.33730938
0.78125000,-15.14577866,-72.50047146,57.35469280,32.68654266,90.04123547
0.78125000,-16.71361923,-72.50047146,55.78685223,32.68654266,88.47339489
0.78125000,-19.75202560,-72.50047146,52.74844585,32.68654266,85.43498852
0.78125000,-18.40066910,-72.50047146,54.09980236,32.68654266,86.78634502
0.78125000,-21.82435989,-72.50047146,50.67611156,32.68654266,83.36265423
0.78125000,-23.02598953,-72.50047146,49.47448193,32.68654266,82.16102459
0.78125000,-14.58215714,-72.50047146,57.91831432,32.68654266,90.60485699
0.78125000,-21.64316177,-72.50047146,50.85730968,32.68654266,83.54385235
0.78125000,-19.88649368,-72.50047146,52.61397778,32.68654266,85.30052044
0.78125000,-20.72763443,-72.50047146,51.77283703,32.68654266,84.45937969
0.78125000,-19.43254471,-72.50047146,53.06792675,32.68654266,85.75446941
0.78125000,-20.52736282,-72.50047146,51.97310863,32.68654266,84.65965130
0.78125000,-17.97723770,-72.50047146,54.52323376,32.68654266,87.20977642
0.78125000,-19.81210709,-72.50047146,52.68836437,32.68654266,85.37490704
0.78125000,-16.19005203,-72.50047146,56.31041943,32.68654266,88.99696209
0.78125000,-18.79835129,-72.50047146,53.70212017,32.68654266,86.38866283
0.78125000,-19.25802231,-72.50047146,53.24244915,32.68654266,85.92899181
0.78125000,-17.55666733,-72.50047146,54.94380413,32.68654266,87.63034679
0.78125000,-19.65856552,-72.50047146,52.84190594,32.68654266,85.52844860
0.78125000,-17.66538620,-72.50047146,54.83508526,32.68654266,87.52162792
0.78125000,-17.74454117,-72.50047146,54.75593029,32.68654266,87.44247295
0.78125000,-20.19357681,-72.50047146,52.30689465,32.68654266,84.99343731
0.78125000,-13.77439499,-72.50047146,58.72607647,32.68654266,91.41261913
0.78125000,-18.84317398,-72.50047146,53.65729748,32.68654266,86.34384014
0.78125000,-18.01061630,-72.50047146,54.48985516,32.68654266,87.17639782
0.78125000,-19.45352554,-72.50047146,53.04694591,32.68654266,85.73348858
0.78125000,-18.98813248,-72.50047146,53.51233898,32.68654266,86.19888165
0.78125000,-19.61374283,-72.50047146,52.88672863,32.68654266,85.57327129
0.78125000,-17.53950119,-72.50047146,54.96097027,32.68654266,87.64751293
0.78125000,-21.36754990,-72.50047146,51.13292156,32.68654266,83.81946423
0.78125000,-17.14086533,-72.50047146,55.35960613,32.68654266,88.04614880
0.78125000,-19.84453201,-72.50047146,52.65593945,32.68654266,85.34248211
0.78125000,-19.18935776,-72.50047146,53.31111370,32.68654266,85.99765636
0.78125000,-18.44930649,-72.50047146,54.05116497,32.68654266,86.73770763
0.78125000,-19.89030838,-72.50047146,52.61016308,32.68654266,85.29670574
0.78125000,-16.27492905,-72.50047146,56.22554241,32.68654266,88.91208508
0.78125000,-19.29044724,-72.50047146,53.21002422,32.68654266,85.89656689
0.78125000,-20.89452744,-72.50047146,51.60594402,32.68654266,84.29248669
0.78125000,-20.06196976,-72.50047146,52.43850170,32.68654266,85.12504437
0.78125000,-21.26073837,-72.50047146,51.23973309,32.68654266,83.92627575
0.78125000,-18.43690872,-72.50047146,54.06356274,32.68654266,86.75010540
0.78125000,-16.81470871,-72.50047146,55.68576275,32.68654266,88.37230541
0.78125000,-23.43034744,-72.50047146,49.07012402,32.68654266,81.75666668
0.78125000,-19.65093613,-72.50047146,52.84953533,32.68654266,85.53607800
0.78125000,-21.86346054,-72.50047146,50.63701092,32.68654266,83.32355358
0.81250000,-31.33344650,-76.62701070,45.29356420,32.84629492,78.13985912
0.81250000,-29.38508987,-76.62701070,47.24192083,32.84629492,80.08821575
0.81250000,-31.19993210,-76.62701070,45.42707860,32.84629492,78.27337352
0.81250000,-30.71737289,-76.62701070,45.90963781,32.84629492,78.75593273
0.81250000,-27.90021896,-76.62701070,48.72679174,32.84629492,81.57308666
0.81250000,-32.20129013,-76.62701070,44.42572057,32.84629492,77.27201549
0.81250000,-31.64815903,-76.62701070,44.97885167,32.84629492,77.82514660
0.81250000,-29.48999405,-76.62701070,47.13701665,32.84629492,79.98331157
0.81250000,-29.80756760,-76.62701070,46.81944310,32.84629492,79.66573803
0.81250000,-30.04693985,-76.62701070,46.58007085,32.84629492,79.42636577
0.81250000,-30.04598618,-76.62701070,46.58102453,32.84629492,79.42731945
0.81250000,-27.44245529,-76.62701070,49.18455541,32.84629492,82.03085033
0.81250000,-28.89966965,-76.62701070,47.72734105,32.84629492,80.57363598
0.81250000,-28.67174149,-76.62701070,47.95526922,32.84629492,80.80156414
0.81250000,-29.93631363,-76.62701070,46.69069707,32.84629492,79.53699199
0.81250000,-28.80525589,-76.62701070,47.82175481,32.84629492,80.66804973
0.81250000,-27.09054947,-76.62701070,49.53646123,32.84629492,82.38275615
0.81250000,-32.91177750,-76.62701070,43.71523320,32.84629492,76.56152813
0.81250000,-27.81438828,-76.62701070,48.81262243,32.84629492,81.65891735
0.81250000,-25.51221848,-76.62701070,51.11479223,32.84629492,83.96108715
0.81250000,-27.02379227,-76.62701070,49.60321843,32.84629492,82.44951336
0.81250000,-30.97486496,-76.62701070,45.65214574,32.84629492,78.49844066
0.81250000,-27.58646011,-76.62701070,49.04055059,32.84629492,81.88684551
0.81250000,-30.86805344,-76.62701070,45.75895726,32.84629492,78.60525219
0.81250000,-30.19952774,-76.62701070,46.42748296,32.84629492,79.27377788
0.81250000,-26.80158615,-76.62701070,49.82542455,32.84629492,82.67171947
0.81250000,-32.39774704,-76.62701070,44.22926366,32.84629492,77.07555858
0.81250000,-31.84747696,-76.62701070,44.77953374,32.84629492,77.62582866
0.81250000,-26.42583847,-76.62701070,50.20117223,32.84629492,83.04746715
0.81250000,-32.95087814,-76.62701070,43.67613256,32.84629492,76.52242748
0.81250000,-29.03795242,-76.62701070,47.58905828,32.84629492,80.43535320
0.81250000,-30.88617325,-76.62701070,45.74083745,32.84629492,78.58713237
0.81250000,-28.40089798,-76.62701070,48.22611272,32.84629492,81.07240764
0.81250000,-28.41901779,-76.62701070,48.20799291,32.84629492,81.05428783
0.81250000,-31.01205826,-76.62701070,45.61495244,32.84629492,78.46124737
0.81250000,-27.95267105,-76.62701070,48.67433965,32.84629492,81.52063457
0.81250000,-27.39667892,-76.62701070,49.23033178,32.84629492,82.07662670
0.81250000,-30.40361404,-76.62701070,46.22339666,32.84629492,79.06969158
0.81250000,-25.91848373,-76.62701070,50.70852697,32.84629492,83.55482189
0.81250000,-31.31055832,-76.62701070,45.31645238,32.84629492,78.16274730
0.81250000,-26.93128586,-76.62701070,49.69572484,32.84629492,82.54201977
0.81250000,-27.79912949,-76.62701070,48.82788121,32.84629492,81.67417614
0.81250000,-29.32691574,-76.62701070,47.30009496,32.84629492,80.14638988
0.81250000,-25.49600601,-76.62701070,51.13100469,32.84629492,83.97729961
0.81250000,-29.19054031,-76.62701070,47.43647039,32.84629492,80.28276531
0.81250000,-30.91001511,-76.62701070,45.71699559,32.84629492,78.56329052
0.81250000,-28.46765518,-76.62701070,48.15935552,32.84629492,81.00565044
0.81250000,-30.36546707,-76.62701070,46.26154363,32.84629492,79.10783855
0.81250000,-27.14872360,-76.62701070,49.47828710,32.84629492,82.32458202
0.81250000,-32.25469589,-76.62701070,44.37231481,32.84629492,77.21860973
0.81250000,-25.43401718,-76.62701070,51.19299352,32.84629492,84.03928844
0.81250000,-26.52978897,-76.62701070,50.09722173,32.84629492,82.94351665
0.81250000,-28.46288681,-76.62701070,48.16412389,32.84629492,81.01041881
0.84375000,-39.64948654,-80.75354994,41.10406340,33.00604718,74.11011058
0.84375000,-39.78681564,-80.75354994,40.96673430,33.00604718,73.97278148
0.84375000,-44.46268082,-80.75354994,36.29086913,33.00604718,69.29691631
0.84375000,-40.89117050,-80.75354994,39.86237944,33.00604718,72.86842662
0.84375000,-44.12031174,-80.75354994,36.63323821,33.00604718,69.63928539
0.84375000,-40.41910172,-80.75354994,40.33444823,33.00604718,73.34049541
0.84375000,-37.26911545,-80.75354994,43.48443450,33.00604718,76.49048168
0.84375000,-42.18339920,-80.75354994,38.57015074,33.00604718,71.57619792
0.84375000,-43.63870621,-80.75354994,37.11484374,33.00604718,70.12089092
0.84375000,-41.54253006,-80.75354994,39.21101988,33.00604718,72.21706706
0.84375000,-36.63301468,-80.75354994,44.12053526,33.00604718,77.12658245
0.84375000,-43.36118698,-80.75354994,37.39236296,33.00604718,70.39841014
0.84375000,-39.80207443,-80.75354994,40.95147551,33.00604718,73.95752269
0.84375000,-38.04731369,-80.75354994,42.70623625,33.00604718,75.71228343
0.84375000,-42.25111008,-80.75354994,38.50243987,33.00604718,71.50848705
0.84375000,-41.25928879,-80.75354994,39.49426116,33.00604718,72.50030834
0.84375000,-41.38803482,-80.75354994,39.36551512,33.00604718,72.37156230
0.84375000,-43.42317581,-80.75354994,37.33037413,33.00604718,70.33642131
0.84375000,-42.07277298,-80.75354994,38.68077696,33.00604718,71.68682414
0.84375000,-40.60602188,-80.75354994,40.14752806,33.00604718,73.15357524
0.84375000,-44.74020004,-80.75354994,36.01334990,33.00604718,69.01939708
0.84375000,-42.29784012,-80.75354994,38.45570983,33.00604718,71.46175701
0.84375000,-41.91160202,-80.75354994,38.84194792,33.00604718,71.84799510
0.84375000,-44.02971268,-80.75354994,36.72383727,33.00604718,69.72988445
0.84375000,-42.82140732,-80.75354994,37.93214263,33.00604718,70.93818981
0.84375000,-42.68217087,-80.75354994,38.07137908,33.00604718,71.07742626
0.84375000,-39.32332993,-80.75354994,41.43022002,33.00604718,74.43626720
0.84375000,-41.44430161,-80.75354994,39.30924834,33.00604718,72.31529552
0.84375000,-44.01922226,-80.75354994,36.73432768,33.00604718,69.74037486
0.84375000,-41.63217545,-80.75354994,39.12137450,33.00604718,72.12742168
0.84375000,-42.11091995,-80.75354994,38.64262999,33.00604718,71.64867717
0.84375000,-44.83079910,-80.75354994,35.92275084,33.00604718,68.92879802
0.84375000,-43.47181320,-80.75354994,37.28173674,33.00604718,70.28778392
0.84375000,-37.95862198,-80.75354994,42.79492796,33.00604718,75.80097515
0.84375000,-45.03107071,-80.75354994,35.72247923,33.00604718,68.72852642
0.84375000,-39.91079330,-80.75354994,40.84275664,33.00604718,73.84880382
0.84375000,-45.20559311,-80.75354994,35.54795683,33.00604718,68.55400402
0.84375000,-41.89729691,-80.75354994,38.85625304,33.00604718,71.86230022
0.84375000,-41.75615311,-80.75354994,38.99739684,33.00604718,72.00344402
0.84375000,-38.97523880,-80.75354994,41.77831114,33.00604718,74.78435832
0.84375000,-42.27018356,-80.75354994,38.48336638,33.00604718,71.48941356
0.84375000,-42.94347763,-80.75354994,37.81007231,33.00604718,70.81611949
0.84375000,-40.89117050,-80.75354994,39.86237944,33.00604718,72.86842662
0.84375000,-41.61024094,-80.75354994,39.14330901,33.00604718,72.14935619
0.84375000,-43.18666458,-80.75354994,37.56688536,33.00604718,70.57293254
0.84375000,-43.15137863,-80.75354994,37.60217131,33.00604718,70.60821849
0.84375000,-42.35315323,-80.75354994,38.40039671,33.00604718,71.40644390
0.84375000,-42.34552383,-80.75354994,38.40802611,33.00604718,71.41407329
0.84375000,-40.85206985,-80.75354994,39.90148009,33.00604718,72.90752727
0.84375000,-41.45669937,-80.75354994,39.29685057,33.00604718,72.30289775
0.84375000,-42.15002060,-80.75354994,38.60352934,33.00604718,71.60957652
0.84375000,-40.28272629,-80.75354994,40.47082366,33.00604718,73.47687084
0.84375000,-39.65711594,-80.75354994,41.09643401,33.00604718,74.10248119
0.84375000,-42.31023788,-80.75354994,38.44331206,33.00604718,71.44935924
0.84375000,-42.38748550,-80.75354994,38.36606444,33.00604718,71.37211162
0.84375000,-43.09892654,-80.75354994,37.65462340,33.00604718,70.66067058
0.84375000,-44.18992996,-80.75354994,36.56361998,33.00604718,69.56966716
0.84375000,-42.19579697,-80.75354994,38.55775298,33.00604718,71.56380016
0.84375000,-41.98026657,-80.75354994,38.77328337,33.00604718,71.77933055
0.84375000,-40.77005386,-80.75354994,39.98349608,33.00604718,72.98954326
0.84375000,-41.65220261,-80.75354994,39.10134734,33.00604718,72.10739452
0.87500000,-55.29260635,-84.88008919,29.58748283,33.16579944,62.75328227
0.87500000,-53.71809006,-84.88008919,31.16199913,33.16579944,64.32779857
0.87500000,-54.97217178,-84.88008919,29.90791740,33.16579944,63.07371684
0.87500000,-54.82530594,-84.88008919,30.05478325,33.16579944,63.22058269
0.87500000,-53.96223068,-84.88008919,30.91785850,33.16579944,64.08365794
0.87500000,-56.68020248,-84.88008919,28.19988670,33.16579944,61.36568614
0.87500000,-54.53729630,-84.88008919,30.34279289,33.16579944,63.50859233
0.87500000,-56.55622482,-84.88008919,28.32386436,33.16579944,61.48966380
0.87500000,-55.58919907,-84.88008919,29.29089012,33.16579944,62.45668956
0.87500000,-54.19397354,-84.88008919,30.68611565,33.16579944,63.85191508
0.87500000,-57.52897263,-84.88008919,27.35111656,33.16579944,60.51691600
0.87500000,-54.36563492,-84.88008919,30.51445427,33.16579944,63.68025371
0.87500000,-57.74354935,-84.88008919,27.13653984,33.16579944,60.30233928
