x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.78125000,-8.43524933,-82.46701413,74.03176480
0.78125000,-11.65962219,-82.46701413,70.80739194
0.78125000,-24.33204651,-82.46701413,58.13496762
0.78125000,-17.76218414,-82.46701413,64.70482999
0.78125000,-9.88769531,-82.46701413,72.57931882
0.78125000,-10.32257080,-82.46701413,72.14444333
0.78125000,-16.92485809,-82.46701413,65.54215604
0.78125000,-20.33519745,-82.46701413,62.13181668
0.78125000,-14.60838318,-82.46701413,67.85863095
0.78125000,-15.36655426,-82.46701413,67.10045987
0.78125000,-17.16995239,-82.46701413,65.29706174
0.78125000,-16.63970947,-82.46701413,65.82730466
0.78125000,-28.56636047,-82.46701413,53.90065366
0.78125000,-15.20252228,-82.46701413,67.26449185
0.78125000,-22.32742310,-82.46701413,60.13959103
0.78125000,-15.04135132,-82.46701413,67.42566281
0.78125000,-16.97635651,-82.46701413,65.49065762
0.78125000,-19.55509186,-82.46701413,62.91192227
0.78125000,-20.07198334,-82.46701413,62.39503079
0.78125000,-11.35158539,-82.46701413,71.11542874
0.78125000,-20.96080780,-82.46701413,61.50620633
0.78125000,-17.66777039,-82.46701413,64.79924374
0.78125000,-10.49709320,-82.46701413,71.96992093
0.78125000,-20.09105682,-82.46701413,62.37595731
0.78125000,-19.74868774,-82.46701413,62.71832639
0.78125000,-14.76478577,-82.46701413,67.70222836
0.78125000,-22.99308777,-82.46701413,59.47392636
0.78125000,-23.01692963,-82.46701413,59.45008450
0.78125000,-19.02198792,-82.46701413,63.44502622
0.78125000,-14.84298706,-82.46701413,67.62402707
0.78125000,-19.45781708,-82.46701413,63.00919705
0.78125000,-16.14284515,-82.46701413,66.32416898
0.78125000,-15.09857178,-82.46701413,67.36844235
0.78125000,-15.12050629,-82.46701413,67.34650784
0.78125000,-17.05169678,-82.46701413,65.41531735
0.78125000,-16.44802094,-82.46701413,66.01899320
0.78125000,-22.60780334,-82.46701413,59.85921079
0.78125000,-16.44611359,-82.46701413,66.02090054
0.78125000,-18.68629456,-82.46701413,63.78071957
0.78125000,-21.19159698,-82.46701413,61.27541715
0.78125000,-5.29003143,-82.46701413,77.17698270
0.78125000,-16.81900024,-82.46701413,65.64801389
0.78125000,-18.19896698,-82.46701413,64.26804715
0.78125000,-20.60508728,-82.46701413,61.86192685
0.78125000,-17.37308502,-82.46701413,65.09392911
0.78125000,-19.98615265,-82.46701413,62.48086148
0.78125000,-22.22156525,-82.46701413,60.24544888
0.78125000,-9.72557068,-82.46701413,72.74144345
0.78125000,-23.69499207,-82.46701413,58.77202206
