case_path,x_Zr,formation_energy_eV_per_atom,formation_energy_meV_per_atom,rmsd_angstrom
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-5,0.78125,2.651420605532227,2651.420605532227,0.2028186906404977
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-50,0.78125,2.6509166668603523,2650.9166668603525,0.20974791959085073
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-51,0.78125,2.653390713344727,2653.3907133447274,0.20737109418304808
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-52,0.78125,2.652077476469728,2652.077476469728,0.21137549551984994
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-53,0.78125,2.6497309824072275,2649.7309824072277,0.2115140727007801
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-54,0.78125,2.6551378706884776,2655.1378706884775,0.20445469059344326
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-55,0.78125,2.652767371782227,2652.767371782227,0.2110711095159955
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-56,0.78125,2.6511733842822274,2651.1733842822273,0.20726928728326613
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-57,0.78125,2.6541661718603518,2654.166171860352,0.20194888726355326
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-58,0.78125,2.6488561792822267,2648.8561792822265,0.20701683397664994
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-59,0.78125,2.651072422954103,2651.072422954103,0.20618631610602345
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-6,0.78125,2.6516571570947267,2651.6571570947267,0.21586838023994231
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-60,0.78125,2.653743077641602,2653.743077641602,0.21992973460525314
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-61,0.78125,2.6539641792822266,2653.9641792822267,0.21165898777596406
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-62,0.78125,2.652377774282227,2652.377774282227,0.20964738547641343
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-63,0.78125,2.652739497641603,2652.739497641603,0.2034997507671902
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-64,0.78125,2.652319806782227,2652.3198067822273,0.2060339034169457
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-65,0.78125,2.656074223422852,2656.074223422852,0.21220725782545152
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-66,0.78125,2.649319955766602,2649.319955766602,0.20777754686623176
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-67,0.78125,2.650876160766602,2650.876160766602,0.2242650541574063
/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb-Zr/Zr100Nb28/case-68,0.78125,2.6505117349853524,2650.5117349853526,0.22368278552612747
